subject,condition,trial,targetx,targety,targetang,rotationval,cursorendpointy,cursorendpointx,conditionnumber,pathlength,movementduration,cursorobstaclexy,maxdev_cm,maxdev_angle,maxdev_x,max_y_peakvel,AUC,RMSExy,angmaxvel,block3,block5,block10,rotgroup
ab0529,control,30,-6,10.41818182,120,-1,11.80950874,0.052608694,1,12.13240672,1282.455672,0.803556285,0.805831265,-49.2743959,4.254319786,0.684127697,5.85135184,0.480359058,6.675297192,10,6,3,2
ab0529,control,31,0,12,90,-1,11.8022233,0.240514847,1,11.9958785,1024,1.385749041,1.415894657,-75.03710654,5.297912796,1.415894657,12.31794809,0.909803359,14.96289346,10,6,3,2
ab0529,control,32,6,10.41818182,60,-1,12.03755463,-0.125244443,1,15.42073218,1264,4.019538742,4.262274187,-83.23483424,5.704727039,4.141343904,34.09488775,2.255856975,41.57765123,10,6,3,2
ab0529,control,33,3.109090909,11.61818182,75,-1,12.00245862,-0.178917178,1,12.87944771,899.7507698,1.917990637,1.929760877,-81.99603852,4.545357928,1.838217869,12.3790889,0.970224886,18.60191088,11,6,3,2
ab0529,control,34,-3.109090909,11.61818182,105,-1,11.71454714,-0.139836625,1,11.82318189,1365.602041,1.141253379,1.157560221,-62.28468167,5.130104217,1.132858073,8.880273159,0.724197675,16.95763459,11,6,3,2
ab0529,control,35,-6,10.41818182,120,-1,12.0206244,-0.273443725,1,12.16997844,1125.53214,0.566169784,0.620268908,-43.92970896,2.153161715,0.324702476,3.958339757,0.358178646,3.044481805,11,7,3,2
ab0529,control,36,0,12,90,-1,11.58615418,-0.100153612,1,11.95883811,1164,1.598439189,1.598623385,-67.90282975,3.937492511,1.591684467,12.4164618,0.954336849,18.58097677,12,7,3,2
ab0529,control,37,3.109090909,11.61818182,75,-1,11.75179893,0.308118574,1,13.21417934,1441.690613,2.436773067,2.43871865,-72.39423304,3.812472582,2.274583597,21.30251071,1.557662563,20.69993734,12,7,3,2
ab0529,control,38,6,10.41818182,60,-1,12.12562925,0.402872951,1,14.09046882,812.464994,2.971494427,3.072015992,-89.82538097,5.283634265,3.070661602,27.56346847,1.879856165,28.98967776,12,7,3,2
ab0529,control,39,-3.109090909,11.61818182,105,-1,11.90076649,-0.488327624,1,12.05905,1231.08899,0.878622413,0.907025116,-57.73101352,2.917683913,0.518717073,6.798627461,0.602372616,4.005534372,13,7,3,2
ab0529,control,40,-3.109090909,11.61818182,105,-1,11.82649752,-0.174168075,1,11.87643056,1355.841161,0.771782743,0.776003436,-64.58130322,4.220353281,0.697634601,5.642884115,0.458025021,6.69447589,13,8,4,2
ab0529,control,41,6,10.41818182,60,-1,11.86876489,0.209106454,1,14.97268886,1730.379774,4.012745367,4.055094212,-79.49351139,4.746816661,3.980379877,33.89585091,2.376492564,45.78168127,13,8,4,2
ab0529,control,42,3.109090909,11.61818182,75,-1,11.73109882,-0.068867968,1,13.58184932,1260,2.563484501,2.573580081,-74.73953228,4.411138568,2.377843443,20.58470419,1.510935393,21.63026673,14,8,4,2
ab0529,control,43,-6,10.41818182,120,-1,11.70469451,-0.023570033,1,11.53047475,860,0.570891875,0.570891875,-51.94753308,4.035291271,0.453066013,3.476940069,0.313845375,4.563042636,14,8,4,2
ab0529,control,44,0,12,90,-1,11.80651572,-0.093938361,1,12.09334075,1044,1.300882935,1.300882935,-72.06420876,4.019025535,1.24894561,8.289723364,0.692920843,14.95643056,14,8,4,2
ab0529,control,45,6,10.41818182,60,-1,11.80281438,0.495232105,1,13.57793722,1464,2.990853493,3.022231203,-87.17080907,4.684341863,2.923658849,26.18648935,1.933457523,25.37067404,15,9,4,2
ab0529,control,46,0,12,90,-1,11.94434082,-0.13576102,1,12.4239299,1429.235669,0.980890435,0.985591288,-78.99319963,5.067216591,0.961802411,7.868232779,0.624577584,17.04089736,15,9,4,2
ab0529,control,47,3.109090909,11.61818182,75,-1,11.88582316,0.237069461,1,13.42004611,1050.737728,2.615024087,2.632156875,-75.07686307,4.573186642,2.515154306,21.63783153,1.620139718,22.89198933,15,9,4,2
ab0529,control,48,-6,10.41818182,120,-1,11.86387156,-0.018160773,1,11.87312836,880,0.170678211,0.218326072,-58.18534125,6.891091538,0.193619584,1.652786787,0.13376929,2.173145745,16,9,4,2
ab0529,control,49,-3.109090909,11.61818182,105,-1,11.59809706,0.032786779,1,11.4960127,1009.587535,0.4674183,0.576421587,-69.7555888,6.279873489,0.424919836,3.820617516,0.331734097,6.599636099,16,9,4,2
ab0529,nocur_1,1,3.109090909,11.61818182,75,1,12.66561218,0.058432435,2,13.06433965,1527.310417,-0.939220849,-1.021338801,64.6198765,5.575730857,-1.00616358,8.393557795,0.642769493,-11.2742985,0,0,0,2
ab0529,nocur_1,2,6,10.41818182,60,-1,11.02365488,-1.396195126,2,15.05974063,1586.816938,3.694561165,3.706020039,-80.49355434,4.494731486,3.696470313,28.78357865,2.239802942,37.12417997,0,0,0,2
ab0529,nocur_1,3,0,12,90,-1,10.08566729,-0.53377387,2,11.38948399,1565.683825,1.629458246,1.629727254,-67.57831009,3.949770056,1.194956569,10.76337241,1.009505041,10.21485242,0,0,0,2
ab0529,nocur_1,4,-3.109090909,11.61818182,105,-1,9.753596225,-0.002856519,2,10.17444406,1660.391225,1.00435691,1.056184988,-64.3140644,5.597231803,0.987728684,7.251791081,0.717870438,15.4002508,1,0,0,2
ab0529,nocur_1,5,3.109090909,11.61818182,75,-1,11.58645194,-0.194854776,2,14.26806605,1484.787037,3.288411006,3.489315896,-72.74949205,5.530122351,3.076560986,28.35131946,2.247691772,21.63868286,1,0,0,2
ab0529,nocur_1,6,6,10.41818182,60,1,10.33246875,0.167888406,2,10.26022436,1204,0.189244639,0.293769295,-46.32106306,0.086021396,0.190998569,2.086628564,0.215288139,2.475980167,1,1,0,2
ab0529,nocur_1,7,-3.109090909,11.61818182,105,1,9.86153132,0.15532363,2,11.60090771,1359.924202,-2.314659225,-2.370607754,78.67089962,4.790433373,-1.500902418,16.71372656,1.616793636,-10.26542143,2,1,0,2
ab0529,nocur_1,8,0,12,90,1,9.675892701,0.226694447,2,11.71182672,1356.460448,-2.345629039,-2.479770976,65.36953676,5.408690013,-2.427922117,17.21178795,1.652475449,-26.84367131,2,1,0,2
ab0529,nocur_1,9,-6,10.41818182,120,-1,9.16687991,0.80440604,2,8.882875016,1187.927747,0.758551737,0.80440604,-54.98506414,9.16687991,0.755914881,5.556883115,0.626242516,7.839266803,2,1,0,2
ab0529,nocur_1,10,-3.109090909,11.61818182,105,-1,10.27303168,0.19521809,2,10.7130809,989.2493133,1.38655823,1.480719631,-59.53524375,5.352084508,1.165055518,10.17885183,0.9343843,8.798679072,3,1,0,2
ab0529,nocur_1,11,3.109090909,11.61818182,75,-1,9.921371792,-1.724746304,2,12.45362135,1433.144955,2.528238052,2.541346524,-74.5741384,4.327144139,0.649449384,15.62442,1.579138123,4.617711788,3,2,1,2
